,ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,episode_name,episode_show_name,reason_start,reason_end
2491,2021-11-06T21:25:45Z,127098,"Preciso me encontrar - Original Motion Picture Soundtrack ""Diários De Intercâmbio""",ANAVITÓRIA,Preciso me encontrar,,,trackdone,trackdone
2492,2021-11-06T21:29:25Z,220031,Lisboa-Madrid,ANAVITÓRIA,Lisboa-Madrid,,,trackdone,trackdone
2493,2021-11-06T21:32:47Z,201452,"Amarelo, azul e branco",ANAVITÓRIA,COR,,,trackdone,trackdone
2494,2021-11-06T21:36:52Z,244386,Te amar é massa demais,ANAVITÓRIA,COR,,,trackdone,trackdone
2495,2021-11-06T21:41:16Z,233986,Tenta acreditar,ANAVITÓRIA,COR,,,trackdone,trackdone
2496,2021-11-06T21:45:42Z,265320,Explodir,ANAVITÓRIA,COR,,,trackdone,trackdone
2497,2021-11-06T21:49:25Z,223680,Cigarra,ANAVITÓRIA,COR,,,trackdone,trackdone
2498,2021-11-06T21:52:52Z,175826,Selva,ANAVITÓRIA,COR,,,trackdone,trackdone
2499,2021-11-06T21:53:40Z,48074,(dia 34),ANAVITÓRIA,COR,,,trackdone,trackdone
2500,2021-11-06T21:55:19Z,99345,Ainda é tempo,ANAVITÓRIA,COR,,,trackdone,trackdone
2501,2021-11-06T21:55:49Z,29351,Eu sei quem é você,ANAVITÓRIA,COR,,,trackdone,endplay
2502,2021-11-06T21:59:21Z,212720,Falling Like The Stars,James Arthur,Falling Like The Stars,,,playbtn,trackdone
2503,2021-11-06T22:02:18Z,176586,Use Somebody - Recorded at Spotify Studios NYC,Shawn Mendes,Spotify Singles,,,trackdone,trackdone
2504,2021-11-06T22:06:48Z,238220,I Don't Care - Acoustic,Ed Sheeran,I Don't Care,,,trackdone,trackdone
2505,2021-11-06T22:11:08Z,259040,The One That Got Away - Acoustic,Katy Perry,Teenage Dream: The Complete Confection,,,trackdone,trackdone
2506,2021-11-06T22:15:12Z,243804,"Girl Crush - Recorded at Metropolis Studios, London",Harry Styles,Spotify Singles,,,trackdone,trackdone
2507,2021-11-06T22:19:29Z,225920,Bad,James Bay,Oh My Messy Mind,,,trackdone,trackdone
2508,2021-11-06T22:23:09Z,219960,I'm Like A Bird - Recorded at Spotify Studios NYC,Alessia Cara,Spotify Singles,,,trackdone,trackdone
2509,2021-11-06T22:27:17Z,247346,Tell Me You Love Me - Recorded at Spotify Studios NYC,Demi Lovato,Spotify Singles,,,trackdone,trackdone
2510,2021-11-06T22:30:42Z,203853,if this is the last time,LANY,mama's boy,,,trackdone,trackdone
2511,2021-11-07T00:51:25Z,117929,Lost In Japan - Recorded at Spotify Studios NYC,Shawn Mendes,Spotify Singles,,,trackdone,logout
